Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fibre Volume Fraction,Fibre Weight Fraction,Percentage of Fibre in 0-deg Direction,Percentage of Fibre in 45-deg Direction,Percentage of Fibre in 90-deg Direction,Percentage of Fibre in Other Direction,Thickness,Tab Thickness,Width,Maximum Width,Minimum Width,Length,Gauge Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Static Maximum Tensile Stress,Static Maximum Compressive Stress,Static Elastic Modulus,Static Compressive Modulus,Static Maximum Tensile Strain,Static Maximum Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,96.5,9.64999961853027,0.560000002384186,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,62,1.79239165782928
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,96.5,9.64999961853027,0.560000002384186,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,287,2.45788192749023
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,96.5,9.64999961853027,0.560000002384186,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,208,2.31806325912476
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,82.6999969482422,8.27000045776367,0.479999989271164,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,3627,3.55954766273499
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,82.6999969482422,8.27000045776367,0.479999989271164,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,2336,3.36847281455994
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,82.6999969482422,8.27000045776367,0.479999989271164,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,1095,3.03941416740418
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,69,6.90000009536743,0.400000005960465,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,17549,4.24425220489502
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,69,6.90000009536743,0.400000005960465,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,8825,3.94571471214294
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,69,6.90000009536743,0.400000005960465,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,8289,3.91850209236145
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,51.7000007629395,5.17000007629395,0.300000011920929,,0.100000001490116,4,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,398920,5.60088586807251
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,51.7000007629395,5.17000007629395,0.300000011920929,,0.100000001490116,3,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,194107,5.28804111480713
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,51.7000007629395,5.17000007629395,0.300000011920929,,0.100000001490116,3,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,149945,5.17593193054199
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,41.4000015258789,4.1399998664856,0.239999994635582,,0.100000001490116,5,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,3901051,6.59118175506592
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,41.4000015258789,4.1399998664856,0.239999994635582,,0.100000001490116,5,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,4667537,6.6690878868103
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,41.4000015258789,4.1399998664856,0.239999994635582,,0.100000001490116,10,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,9707130,6.98709106445313
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,110,11,0.639999985694885,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,52,1.71600329875946
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,110,11,0.639999985694885,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,45,1.65321254730225
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,110,11,0.639999985694885,,0.100000001490116,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,8,0.903090000152588
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,69,-34.5,0.400000005960465,,-0.5,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,2868,3.45757913589478
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,69,-34.5,0.400000005960465,,-0.5,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,5085,3.70629096031189
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,69,-34.5,0.400000005960465,,-0.5,1,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,3476,3.54107975959778
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,51.7000007629395,-25.8500003814697,0.300000011920929,,-0.5,4,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,51543,4.7121696472168
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,51.7000007629395,-25.8500003814697,0.300000011920929,,-0.5,3,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,38220,4.58229064941406
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,51.7000007629395,-25.8500003814697,0.300000011920929,,-0.5,3,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,25040,4.39863443374634
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,34.5,-17.25,0.200000002980232,,-0.5,5,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,630522,5.79970026016235
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,34.5,-17.25,0.200000002980232,,-0.5,5,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,1649942,6.21746873855591
SNL/MSU/DOE,MD-QQ1-EP2-S[(±45)/(90)2]S,45/-45/90/90/90/90/-45/45,EP,UNK,UNK,52,,16,26,57,1,4.09000015258789,,,,,,,,,34.5,-17.25,0.200000002980232,,-0.5,5,148.235290527344,-274,17.5,,0.850588262081146,-1.58555555343628,3249939,6.51187515258789
