Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fiber Volume Fraction,Fiber Weight Fraction,Percentage of Fiber in 0-deg Direction,Percentage of Fiber in 45-deg Direction,Percentage of Fiber in 90-deg Direction,Percentage of Fiber in Other Direction,Thickness,Tab Thickness,Width,Maximum Width,Minimum Width,Length,Gauge Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Static Maximum Tensile Stress,Static Maximum Compressive Stress,Static Elastic Modulus,Static Compressive Modulus,Static Maximum Tensile Strain,Static Maximum Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,41,4.09999990463257,0.449999988079071,,0.100000001490116,3,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,87777,4.94338083267212
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,41,4.09999990463257,0.449999988079071,,0.100000001490116,3,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,32867,4.51675987243652
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,41,4.09999990463257,0.449999988079071,,0.100000001490116,3,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,251368,5.40031003952026
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,48,4.80000019073486,0.529999971389771,,0.100000001490116,4,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,31608,4.49979686737061
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,48,4.80000019073486,0.529999971389771,,0.100000001490116,3,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,21719,4.33683967590332
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,48,4.80000019073486,0.529999971389771,,0.100000001490116,2,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,59791,4.77663564682007
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,38,3.79999995231628,0.409999996423721,,0.100000001490116,5,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,1874026,6.27277565002441
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,38,3.79999995231628,0.409999996423721,,0.100000001490116,5,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,2754613,6.44006061553955
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,55,5.5,0.600000023841858,,0.100000001490116,1,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,4988,3.69792652130127
SNL/MSU/DOE,MD-P2B[±45/(90)4C]S,45/-45/90/90/90/90/90/90/90/90/-45/45,EP,UNK,UNK,55,,0,15,85,0,2.8199999332428,,,,,,,,,55,5.5,0.600000023841858,,0.100000001490116,1,79.4444427490234,-240.111114501953,8.85200023651123,,1.07444441318512,-2.4300000667572,1419,3.15198230743408
